builder_name,community_low_price,community_high_price,name,telephone,address_locality,address_region,postal_code,latitude,longitude
Lennar,"$398,990","$474,990",Young Ranch - Vista Collection,888-282-0311,Katy,TX,77494,29.765200,-95.872800
Lennar,"$423,990","$496,990",Young Ranch - Texas Reserve Collection,888-243-0129,Katy,TX,77494,29.765200,-95.872800
Perry Homes,"$346,900","$490,900",Cross Creek Ranch 50',888-257-0793,Fulshear,TX,77441,29.716834,-95.879225
Perry Homes,"$430,900","$599,900",Cross Creek Ranch 55',888-263-9404,Fulshear,TX,77441,29.721807,-95.875396
Highland Homes,"$440,990","$554,735",Cross Creek Ranch,972-532-0581,Fulshear,TX,77441,29.721902,-95.875305
Coventry Homes,"$455,990","$650,990",Firethorne West 70',888-269-5841,Katy,TX,77494,29.761714,-95.867990
Tri Pointe Homes,"$356,900","$402,536",Cross Creek Ranch 45,888-258-1501,Fulshear,TX,77441,29.722027,-95.875042
Perry Homes,"$621,900","$642,900",Firethorne 70',888-224-8591,Katy,TX,77494,29.759260,-95.868044
Perry Homes,"$414,900","$580,900",Firethorne 60',888-312-0849,Katy,TX,77494,29.761779,-95.867798
Ashton Woods,"$381,990","$546,456",Firethorne,888-406-8084,Katy,TX,77494,29.761714,-95.867665
Tri Pointe Homes,"$598,900","$742,900",Fulshear Run 1/2 Acre,888-232-9172,Richmond,TX,77406,29.682526,-95.887185
Taylor Morrison,"$289,990","$316,990",Bonterra at Cross Creek Ranch 50s,281-205-0703,Fulshear,TX,77441,29.707545,-95.875529
Taylor Morrison,"$250,990","$250,990",Bonterra at Cross Creek Ranch 45s,281-631-5933,Fulshear,TX,77441,29.707318,-95.875589
Taylor Morrison,"$383,490","$424,990",Bonterra at Cross Creek Ranch 60s,281-853-9964,Fulshear,TX,77441,29.707684,-95.875368
Darling  Homes,"$429,990","$484,490",Bonterra at Cross Creek Ranch 60s,888-237-4044,Fulshear,TX,77441,29.707954,-95.874583
Gehan Homes,"$304,990","$409,990",Tamarron,888-237-0268,Katy,TX,77494,29.735721,-95.866935
Darling  Homes,"$308,990","$316,990",Bonterra at Cross Creek Ranch Cottages,888-304-8416,Fulshear,TX,77441,29.707754,-95.874583
Tri Pointe Homes,"$535,900","$605,900",Cross Creek Ranch 65',888-230-0119,Fulshear,TX,77441,29.719711,-95.869214
Perry Homes,"$558,900","$708,900",Cross Creek Ranch 65',888-451-2705,Fulshear,TX,77441,29.719921,-95.869116
Perry Homes,"$478,900","$668,900",Cross Creek Ranch 60',888-451-2460,Fulshear,TX,77441,29.722097,-95.867473
Lennar,"$398,990","$474,990",Young Ranch - Vista Collection,888-282-0311,Katy,TX,77494,29.765200,-95.872800
Lennar,"$423,990","$496,990",Young Ranch - Texas Reserve Collection,888-243-0129,Katy,TX,77494,29.765200,-95.872800
Perry Homes,"$346,900","$490,900",Cross Creek Ranch 50',888-257-0793,Fulshear,TX,77441,29.716834,-95.879225
Perry Homes,"$430,900","$599,900",Cross Creek Ranch 55',888-263-9404,Fulshear,TX,77441,29.721807,-95.875396
Highland Homes,"$440,990","$554,735",Cross Creek Ranch,972-532-0581,Fulshear,TX,77441,29.721902,-95.875305
Coventry Homes,"$455,990","$650,990",Firethorne West 70',888-269-5841,Katy,TX,77494,29.761714,-95.867990
Tri Pointe Homes,"$356,900","$402,536",Cross Creek Ranch 45,888-258-1501,Fulshear,TX,77441,29.722027,-95.875042
Perry Homes,"$621,900","$642,900",Firethorne 70',888-224-8591,Katy,TX,77494,29.759260,-95.868044
Perry Homes,"$414,900","$580,900",Firethorne 60',888-312-0849,Katy,TX,77494,29.761779,-95.867798
Ashton Woods,"$381,990","$546,456",Firethorne,888-406-8084,Katy,TX,77494,29.761714,-95.867665
Tri Pointe Homes,"$598,900","$742,900",Fulshear Run 1/2 Acre,888-232-9172,Richmond,TX,77406,29.682526,-95.887185
Taylor Morrison,"$289,990","$316,990",Bonterra at Cross Creek Ranch 50s,281-205-0703,Fulshear,TX,77441,29.707545,-95.875529
Taylor Morrison,"$250,990","$250,990",Bonterra at Cross Creek Ranch 45s,281-631-5933,Fulshear,TX,77441,29.707318,-95.875589
Taylor Morrison,"$383,490","$424,990",Bonterra at Cross Creek Ranch 60s,281-853-9964,Fulshear,TX,77441,29.707684,-95.875368
Darling  Homes,"$429,990","$484,490",Bonterra at Cross Creek Ranch 60s,888-237-4044,Fulshear,TX,77441,29.707954,-95.874583
Gehan Homes,"$304,990","$409,990",Tamarron,888-237-0268,Katy,TX,77494,29.735721,-95.866935
Darling  Homes,"$308,990","$316,990",Bonterra at Cross Creek Ranch Cottages,888-304-8416,Fulshear,TX,77441,29.707754,-95.874583
Tri Pointe Homes,"$535,900","$605,900",Cross Creek Ranch 65',888-230-0119,Fulshear,TX,77441,29.719711,-95.869214
Perry Homes,"$558,900","$708,900",Cross Creek Ranch 65',888-451-2705,Fulshear,TX,77441,29.719921,-95.869116
Perry Homes,"$478,900","$668,900",Cross Creek Ranch 60',888-451-2460,Fulshear,TX,77441,29.722097,-95.867473
Tri Pointe Homes,"$487,900","$614,666",Cross Creek Ranch 60,888-218-7916,Fulshear,TX,77441,29.722086,-95.867468
David Weekley Homes,"$354,990","$354,990",Cross Creek Ranch – Creek View 42’,832-426-3159,Fulshear,TX,77441,29.716926,-95.868461
David Weekley Homes,"$411,990","$435,079",Cross Creek Ranch – Creek View  50’,832-426-3159,Fulshear,TX,77441,29.716926,-95.868461
Highland Homes,"$667,990","$877,833",Cane Island: 80ft. lots,972-532-0581,Katy,TX,77493,29.791131,-95.846885
Highland Homes,"$505,990","$618,990",Cane Island: 65ft. lots,972-532-0581,Katy,TX,77493,29.791317,-95.846799
Perry Homes,"$649,900","$832,900",Cane Island 80',888-453-6395,Katy,TX,77493,29.807691,-95.847126
Coventry Homes,"$538,874","$672,990",Cane Island 70',888-474-8957,Katy,TX,77493,29.796029,-95.844910
Shea Homes,"$536,990","$629,990",Cane Island,888-479-3305,Katy,TX,77493,29.796430,-95.844523
David Weekley Homes,"$349,990","$420,344",Cane Island - Elmwood Trails,832-426-3159,Katy,TX,77493,29.801160,-95.843539
Highland Homes,"$393,990","$514,045",Cane Island: 55ft. lots,972-532-0581,Katy,TX,77493,29.805769,-95.843578
Toll Brothers,"$499,995","$775,643",The Reserve at Katy - The Trace,888-347-7714,Katy,TX,77494,29.759944,-95.842537
Perry Homes,"$455,900","$584,900",Cane Island 60',888-391-7823,Katy,TX,77493,29.806373,-95.842467
Coventry Homes,"$395,990","$506,707",Cane Island 55' Homesites,888-402-9006,Katy,TX,77493,29.805971,-95.841944
Tri Pointe Homes,"$538,900","$696,900",LakeHouse 90,888-219-9656,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$510,900","$588,900",LakeHouse 70,888-213-2890,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$329,900","$393,900",LakeHouse 50,888-218-7273,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$404,900","$518,298",LakeHouse 60,888-225-0185,Katy,TX,77493,29.831987,-95.846051
Tri Pointe Homes,"$608,900","$671,900",Lakehouse 80',888-316-2166,Katy,TX,77493,29.831987,-95.846051
Perry Homes,"$376,900","$519,900",Cane Island 50',888-415-8493,Katy,TX,77493,29.802227,-95.840435
David Weekley Homes,"$414,990","$474,990",Cane Island - Monarch Fields,832-426-3159,Katy,TX,77493,29.805432,-95.840548
Lennar,"$391,990","$460,990",Falls at Green Meadows - Texas Reserve Collection,888-260-8474,Katy,TX,77493,29.805900,-95.837300
Coventry Homes,"$790,421","$790,421",Grayson Woods 70',888-215-6938,Katy,TX,77494,29.762707,-95.823782
CastleRock Communities,"$240,000",$0,Sunterra,,Katy,TX,77493,29.868456,-95.835384
Perry Homes,"$426,900","$608,900",Candela 60',888-532-2920,Richmond,TX,77406,29.681751,-95.837102
Perry Homes,"$381,900","$514,900",Candela 50',888-532-3137,Richmond,TX,77406,29.681736,-95.836734
Princeton Classic Homes,"$348,990","$448,540",Lilac Bend,888-245-6083,Katy,TX,77493,29.807963,-95.818069
Coventry Homes,"$313,990","$579,889",Candela 40',888-438-2187,Richmond,TX,77406,29.681635,-95.836153
Perry Homes,"$301,900","$397,900",Candela 40',888-532-4935,Richmond,TX,77406,29.681547,-95.836026
First America Homes,"$248,990","$318,889",Bernard Meadows,888-502-2796,East Bernard,TX,77435,29.484941,-96.137109
Lennar,"$201,990","$239,990",Winward - Colonial Collection,888-830-0007,Katy,TX,77493,29.887700,-95.835800
Lennar,"$246,990","$306,990",Winward - Wildflower Collection,888-828-7247,Katy,TX,77493,29.887000,-95.834700
Lennar,"$226,990","$269,990",Katy Crossing - Gulf Coast Collection,888-220-9161,Katy,TX,77493,29.856900,-95.823100
Lennar,"$236,990","$286,990",Katy Crossing - Magnolia Collection,888-313-4467,Katy,TX,77493,29.856900,-95.823100
Centex Homes,"$195,990","$253,990",Katy Crossing,877-237-4975,Katy,TX,77493,29.858768,-95.823601
KB Home,"$276,995","$328,995",Katy Manor Preserve,281-377-6650,Katy,TX,77493,29.847285,-95.811684
KB Home,"$251,995","$304,995",Katy Manor Trails,281-377-6614,Katy,TX,77493,29.847299,-95.810652
Ashton Woods,"$273,990","$343,298",Creekside Ranch,888-408-8383,Richmond,TX,77406,29.665752,-95.827987
Beazer Homes,$0,$0,Marisol - Founders Collection,888-267-3803,Katy,TX,77493,29.845301,-95.807309
Beazer Homes,$0,$0,Marisol - Premier Collection,888-257-5641,Katy,TX,77493,29.845301,-95.807309
Censeo Homes,"$129,900","$196,620",Hempstead,888-329-1251,Hempstead,TX,77445,30.085572,-96.077241
Perry Homes,"$428,900","$525,900",Lakes of Bella Terra West 50',888-391-9008,Richmond,TX,77406,29.696364,-95.808229
Perry Homes,"$298,900","$348,900",Lakes of Bella Terra West 40',888-390-6693,Richmond,TX,77406,29.696364,-95.808229
Meritage Homes,"$329,990","$385,990",Talavera - Classic,281-860-2185,Richmond,TX,77406,29.685337,-95.807022
Meritage Homes,"$297,990","$373,995",Talavera - Premier,281-738-1660,Richmond,TX,77406,29.685337,-95.807022
Pulte Homes,"$265,490","$352,490",Talavera,866-557-7373,Richmond,TX,77406,29.685502,-95.806537
K. Hovnanian® Homes,"$282,990","$436,039",Katy Pointe,713-481-5896,Katy,TX,77493,29.834763,-95.794666
Lennar,"$255,990","$305,990",Porter Ranch - Magnolia Collection,888-287-7571,Katy,TX,77493,29.843300,-95.792700
Meritage Homes,"$290,990","$391,365",Katy Pointe,281-653-8444,Katy,TX,77493,29.831461,-95.790150
Ashton Woods,"$360,990","$502,203",Lakes of Bella Terra West,888-912-2675,Richmond,TX,77406,29.695787,-95.797940
Tri Pointe Homes,"$403,900","$476,900",Haven at Seven Lakes 50,888-213-7487,Katy,TX,77494,29.702194,-95.795222
Tri Pointe Homes,"$385,900","$430,900",Haven at Seven Lakes 40,888-217-1108,Katy,TX,77494,29.702194,-95.795222
Gehan Homes,"$359,990","$434,990",Katy Lakes,888-858-7059,Katy,TX,77493,29.872890,-95.796560
HistoryMaker Homes   ,"$280,990","$394,212",Katy Lakes 50s,888-329-3070,Katy,TX,77493,29.873723,-95.796568
HistoryMaker Homes   ,"$333,990","$393,990",Katy Lakes 60s,888-329-3082,Katy,TX,77493,29.873723,-95.796568
CastleRock Communities,"$278,990","$453,990",Katy Lakes,281-213-0892,Katy,TX,77493,29.874510,-95.791430
KB Home,"$247,995","$324,351",Deer Run Meadows,281-607-1747,Richmond,TX,77406,29.635671,-95.812468
Beazer Homes,"$280,490","$312,490",Elyson,888-329-9591,Katy,TX,77493,29.864277,-95.784361
Lennar,"$272,990","$311,990",Elyson - Magnolia Collection,888-230-0589,Katy,TX,77493,29.866600,-95.783100
Pulte Homes,"$284,990","$352,990",Elyson,866-498-4111,Katy,TX,77493,29.866590,-95.783050
Taylor Morrison,"$405,990","$473,990",Elyson 60s,832-361-3929,Katy,TX,77493,29.876948,-95.785719
Highland Homes,"$502,840","$606,990",Elyson: 65ft. lots,972-532-0581,Katy,TX,77493,29.868992,-95.782759
Highland Homes,"$379,990","$506,231",Elyson: 55ft. lots,972-532-0581,Katy,TX,77493,29.868600,-95.782635
Perry Homes,"$493,900","$799,900",Elyson 65',888-454-9480,Katy,TX,77493,29.877694,-95.785533
Perry Homes,"$438,900","$596,900",Elyson 55',888-390-7631,Katy,TX,77493,29.877886,-95.784927
Perry Homes,"$349,900","$450,900",Elyson 45',888-250-1673,Katy,TX,77493,29.877890,-95.783689
K. Hovnanian® Homes,$0,$0,Kingdom Heights,713-343-7282,Rosenberg,TX,77471,29.589127,-95.809284
K. Hovnanian® Homes,"$244,990","$286,177",Providence at Kingdom Heights,713-581-8095,Rosenberg,TX,77471,29.589127,-95.809284
Meritage Homes,$0,$0,Grand Trails,281-500-9060,Richmond,TX,77407,29.687430,-95.758251
,"$202,990","$243,990",Vanbrooke,281-745-4684,Brookshire,TX,77423,29.727777,-95.930861
,"$240,990","$307,990",Vanbrooke/55,,Brookshire,TX,77423,29.727777,-95.930861
,"$315,990","$390,990",Jordan Ranch/60,,Brookshire,TX,77423,29.756424,-95.900143
,"$327,990","$350,990",Jordan Ranch/50,281-657-4755,Brookshire,TX,77423,29.756530,-95.899972
,"$339,990","$635,990",Jordan Ranch/70,,Brookshire,TX,77423,29.756554,-95.898680
,"$774,400","$950,800",Reserve at Weston Lakes,,Fulshear,TX,77441,29.644243,-95.936140
,"$236,990","$283,990",Willow Creek Farms,832-721-7700,Fulshear,TX,77423,29.765547,-95.885980
,"$307,990","$461,990",Fulbrook on Fulshear Creek,,Fulshear,TX,77441,29.684175,-95.905432
,"$1,400,000","$1,600,000",Fulshear Run,,Richmond,TX,77406,29.684329,-95.888048
,"$312,990","$374,990",Cross Creek Ranch/45,,Fulshear,TX,77441,29.723716,-95.873032
,"$283,990","$332,990",Vanbrooke,281-994-7967,Fulshear,TX,77441,29.709071,-95.876988
,"$640,000","$1,000,000",Cane Island,512-968-8411,Katy,TX,77493,29.800217,-95.846499
,"$322,990","$452,990",Falls at Green Meadows,281-758-8652,Katy,TX,77493,29.804107,-95.825487
,"$339,990","$414,824",Elyson/60,,Katy,TX,77493,29.868975,-95.785665
,"$659,900","$1,099,900",Lakes of Bella Terra,,Richmond,TX,77406,29.688138,-95.786221
,"$242,990","$274,324",Elyson/40,281-758-8730,Katy,TX,77493,29.868369,-95.783770
